time_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,n_cores,y_par_time
300,333.927012987013,206.3350649350649,256.46111111111105,100.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,263.34666666666664,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,275.4928125,100.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,275.4928125,100.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,275.4928125,100.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,263.34666666666664,100.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,259.695,100.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,263.34666666666664,100.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,275.4928125,100.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,275.4928125,100.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,284.53090909090906,100.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,1.0,206.3350649350649
300,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,no_sol,no_sol
300,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,no_sol,no_sol
300,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,no_sol,no_sol
300,333.927012987013,206.3350649350649,263.34666666666664,100.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,259.695,100.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,1.0,206.3350649350649
300,333.927012987013,206.3350649350649,272.19,100.0,266.50625,273.8953361583049,315.028125,164.58755882959193,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,260.14,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,256.46111111111105,100.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,263.34666666666664,100.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,271.69679999999994,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,271.69679999999994,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,281.44199999999995,100.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,1.0,206.3350649350649
500,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,no_sol,no_sol
500,333.927012987013,206.3350649350649,308.374,100.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,308.374,100.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,269.7088235294118,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,265.6333333333334,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,275.19,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,260.14,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,256.46111111111105,100.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,263.34666666666664,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,275.4928125,100.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,275.4928125,100.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,275.4928125,100.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,263.34666666666664,100.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,259.695,100.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,263.34666666666664,100.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,275.4928125,100.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,275.4928125,100.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,284.53090909090906,100.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,1.0,206.3350649350649
500,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,no_sol,no_sol
500,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,no_sol,no_sol
500,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,no_sol,no_sol
500,333.927012987013,206.3350649350649,263.34666666666664,100.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,259.695,100.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,1.0,206.3350649350649
500,333.927012987013,206.3350649350649,272.19,100.0,266.50625,273.8953361583049,315.028125,164.58755882959193,1.0,206.3350649350649
